Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Reviews per Month;image_path
Fuente del Berro;Salamanca;Apartment;Entire home/apt;3;1.0;1.0;2.0;50.0;70.0;20.0;1;0;3;1125;8;14;20;73;86;92.0;10.0;9.0;10.0;10.0;9.0;9.0;moderate;2.38;model/images\image-2731726.jpg
Vista Alegre;Carabanchel;Apartment;Entire home/apt;5;1.0;1.0;3.0;30.0;;15.0;1;0;7;1125;0;0;0;0;0;;;;;;;;flexible;;model/images\image-7235686.jpg
Gaztambide;Chamberí;Apartment;Private room;3;1.0;1.0;2.0;30.0;;;1;30;5;60;21;51;81;356;7;97.0;10.0;9.0;10.0;10.0;10.0;10.0;flexible;0.3;model/images\image-5216001.jpg
Embajadores;Centro;Apartment;Private room;1;2.0;1.0;1.0;26.0;;10.0;1;0;1;60;6;10;35;310;56;90.0;10.0;9.0;9.0;9.0;9.0;9.0;moderate;4.87;model/images\image-12621485.jpg
Prosperidad;Chamartín;Other;Private room;1;1.5;1.0;1.0;25.0;;10.0;1;0;15;60;0;0;5;280;27;98.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.8;model/images\image-1644183.jpg
Sol;Centro;Guesthouse;Private room;2;1.0;1.0;1.0;40.0;;;1;0;2;28;0;0;0;0;28;96.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;5.09;model/images\image-14889957.jpg
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;1.0;35.0;;;1;0;1;1125;18;47;77;352;34;94.0;10.0;9.0;10.0;10.0;10.0;9.0;flexible;2.91;model/images\image-12409611.jpg
Rejas;San Blas - Canillejas;Apartment;Entire home/apt;6;2.0;3.0;5.0;80.0;150.0;45.0;3;10;2;1125;6;25;25;144;35;94.0;10.0;10.0;10.0;10.0;9.0;9.0;flexible;3.35;model/images\image-11509649.jpg
Cortes;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;80.0;;;2;10;3;1125;8;16;31;294;4;70.0;10.0;9.0;10.0;9.0;9.0;9.0;strict;0.14;model/images\image-1159972.jpg
Pinar del Rey;Hortaleza;Apartment;Shared room;2;1.0;1.0;1.0;35.0;;;1;0;1;1125;30;60;90;365;0;;;;;;;;flexible;;model/images\image-17133646.jpg
Fontarrón;Moratalaz;Apartment;Private room;2;1.0;1.0;1.0;40.0;200.0;30.0;1;0;3;1125;0;2;32;307;0;;;;;;;;strict;;model/images\image-5112388.jpg
Embajadores;Centro;Apartment;Private room;2;2.0;1.0;1.0;40.0;;;1;0;4;365;0;0;5;280;12;92.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.71;model/images\image-13823194.jpg
Palacio;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;70.0;400.0;30.0;2;0;4;1125;2;26;37;37;4;95.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.25;model/images\image-8651758.jpg
Costillares;Ciudad Lineal;House;Private room;1;1.0;1.0;1.0;30.0;;;1;0;1;1125;30;60;90;365;14;94.0;10.0;10.0;10.0;10.0;9.0;10.0;flexible;0.49;model/images\image-4131994.jpg
Vista Alegre;Carabanchel;Apartment;Private room;1;1.0;1.0;1.0;13.0;100.0;10.0;1;0;5;1125;0;0;0;71;1;100.0;10.0;10.0;10.0;10.0;8.0;10.0;moderate;0.12;model/images\image-13589559.jpg
Puerta del Angel;Latina;Apartment;Private room;2;1.0;1.0;2.0;16.0;;10.0;1;8;1;1125;21;46;76;167;17;91.0;10.0;10.0;9.0;10.0;9.0;9.0;strict;2.21;model/images\image-14065306.jpg
Universidad;Centro;Apartment;Private room;2;1.0;1.0;1.0;20.0;100.0;10.0;1;8;3;50;1;1;30;305;0;;;;;;;;flexible;;model/images\image-17693592.jpg
Aeropuerto;Barajas;Apartment;Entire home/apt;2;1.0;1.0;1.0;40.0;;;1;0;3;1125;12;42;72;347;0;;;;;;;;flexible;;model/images\image-18031154.jpg
Universidad;Centro;House;Private room;1;1.0;1.0;1.0;40.0;100.0;;1;15;4;1125;7;37;67;67;8;91.0;10.0;9.0;10.0;10.0;10.0;9.0;strict;0.89;model/images\image-13966451.jpg
Ciudad Jardín;Chamartín;Apartment;Private room;1;1.0;1.0;1.0;15.0;;;1;0;7;1125;7;31;54;54;0;;;;;;;;flexible;;model/images\image-17326936.jpg
Embajadores;Centro;Apartment;Entire home/apt;3;1.0;2.0;2.0;50.0;;10.0;1;10;3;1125;0;0;6;62;3;90.0;10.0;8.0;7.0;10.0;10.0;9.0;moderate;0.93;model/images\image-16505879.jpg
Universidad;Centro;Loft;Entire home/apt;2;1.0;0.0;1.0;68.0;200.0;16.0;2;15;2;1125;10;27;51;326;126;95.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;4.22;model/images\image-4403346.jpg
Goya;Salamanca;Apartment;Private room;2;2.0;1.0;1.0;55.0;200.0;30.0;1;0;2;1125;17;44;74;74;1;100.0;10.0;10.0;10.0;10.0;8.0;10.0;moderate;0.34;model/images\image-16184150.jpg
Recoletos;Salamanca;Apartment;Entire home/apt;2;1.0;0.0;1.0;60.0;;;1;0;1;1125;7;7;7;20;0;;;;;;;;flexible;;model/images\image-3613370.jpg
Aluche;Latina;Apartment;Private room;1;1.0;1.0;1.0;19.0;;;1;0;1;30;0;7;37;127;7;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;0.66;model/images\image-12992434.jpg
Universidad;Centro;Apartment;Private room;2;1.0;1.0;1.0;95.0;;5.0;1;0;2;9;0;0;0;0;0;;;;;;;;flexible;;model/images\image-13667341.jpg
Palacio;Centro;Apartment;Private room;2;1.0;1.0;1.0;25.0;;;1;0;3;15;2;2;9;9;0;;;;;;;;flexible;;model/images\image-14071630.jpg
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;4;2.0;2.0;2.0;124.0;;29.0;2;19;3;30;0;0;7;93;4;95.0;10.0;9.0;9.0;10.0;10.0;9.0;strict;0.12;model/images\image-2896744.jpg
Sol;Centro;Apartment;Private room;2;1.0;1.0;1.0;39.0;;;1;18;2;1125;5;12;17;17;9;96.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;2.41;model/images\image-16251893.jpg
